product_name,link,startech_rice,brand
Asus B250 Mining Expert Intel LGA-1151 ATX DDR4 Motherboard,https://www.startech.com.bd/asus-b250-mining-expert-motherboard,"16,500",Asus
Gigabyte Z370XP SLI Ultra Durable Supports 8th Gen Processors Motherboard ,https://www.startech.com.bd/gigabyte-z370xp-sli-8th-gen-motherboard,"14,500",Gigabyte
ASRock X299 Taichi USB 3.1 ATX Intel Motherboard,https://www.startech.com.bd/asrock-x299-taichi,"31,750",ASRock
Asus TUF Z370-PLUS GAMING II 9th Gen gaming Motherboard,https://www.startech.com.bd/asus-tuf-z370-plus-gaming-II-motherboard,"16,200",Asus
ASUS TUF Z390-PLUS GAMING 9th Gen ATX Gaming Motherboard,https://www.startech.com.bd/asus-tuf-z390-plus-gaming-9th-gen-motherboard,"17,500",ASUS
ASUS TUF Z390M-PRO GAMING 9th Gen mATX Gaming Motherboard,https://www.startech.com.bd/asus-tuf-z390m-pro-gaming-9th-gen-motherboard,"17,500",ASUS
Asus Rog Strix Z370H 8th Gen DDR4 ATX Gaming Motherboard,https://www.startech.com.bd/asus-rog-strix-z370-h-ddr4-motherboard,"17,750",Asus
Gigabyte Z390 Aorus Pro Wifi 9th Gen Motherboard,https://www.startech.com.bd/gigabyte-z390-aorus-pro-wifi-9th-gen-motherboard,"18,600",Gigabyte
Gigabyte Z390 Aorus Xtreme Waterforce Motherboard,https://www.startech.com.bd/z390-aorus-xtreme-waterforce-motherboard,"73,000",Gigabyte
ASUS TUF Z390-PRO GAMING 9th Gen ATX Gaming Motherboard,https://www.startech.com.bd/asus-tuf-z390-pro-gaming-9th-gen-motherboard,"18,000",ASUS
Gigabyte Z390 Aorus Ultra 9th Gen Motherboard,https://www.startech.com.bd/gigabyte-z390-9th-gen-motherboard,"21,800",Gigabyte
AsusTUF Z390-PLUS GAMING (WI-FI) 9th Gen Motherboard,https://www.startech.com.bd/asustuf-z390-plus-wif-motherboard,"18,800",AsusTUF
Asus Rog Strix Z390-H 9th Gen Atx Gaming Motherboard,https://www.startech.com.bd/asus-rog-strix-z390-h-motherboard,"19,300",Asus
ASUS P10S WS Intel C236 Chipset Server Motherboard,https://www.startech.com.bd/asus-p10s-ws-motherboard,"20,100",ASUS
Asus ROG MAXIMUS IX APEX Motherboard,https://www.startech.com.bd/asus-rog-maximus-ix-apex,"28,000",Asus
ASRock A320M-HDV Motherboard,https://www.startech.com.bd/asrock-a320m-hdv,0,ASRock
Asrock B250M-HDV USB 3.1 DDR4 Micro ATX Motherboard,https://www.startech.com.bd/asrock-b250m-hdv-motherboard,"6,300",Asrock
Asrock B365M Phantom Gaming 4 9th Gen Motherboard,https://www.startech.com.bd/asrock-b365m-phantom-gaming-4-motherboard,"9,500",Asrock
Asrock B450M-HDV AMD Motherboard,https://www.startech.com.bd/asrock-b450m-hdv-motherboard,"7,700",Asrock
ASRock Fatal1ty AB350 Gaming K4 Motherboard,https://www.startech.com.bd/asrock-fatal1ty-ab350-gaming-k4,"10,200",ASRock
Asrock Fatal1ty B360M Performance 8th Gen Motherboard,https://www.startech.com.bd/asrock-fatal1ty-b360m-performance-motherboard,"10,300",Asrock
Asrock Fatal1ty H370 Performance 8th Gen DDR4 Motherboard,https://www.startech.com.bd/asrock-fatal1ty-h370-performance-motherboard,"13,400",Asrock
ASRock Fatal1ty X370 Gaming X AMD Motherboard ,https://www.startech.com.bd/asrock-fatal1ty-x370-gaming-x-motherboard,"15,000",ASRock
ASRock Fatal1ty X370 Pro Gaming AMD Motherboard,https://www.startech.com.bd/asrock-fatal1ty-x370-pro-gaming-motherboard,"25,000",ASRock
Asrock H310M-HDV 8th Gen DDR4 Motherboard,https://www.startech.com.bd/asrock-h310M-hdv-motherboard,"6,600",Asrock
Asrock Z370M Pro4 USB 3.1 8th Gen Motherboard ,https://www.startech.com.bd/asrock-z370m-pro4-motherboard,"11,400",Asrock
Asrock Z390 Taichi 9th Gen Atx Motherboard,https://www.startech.com.bd/asrock-z390-taichi-motherboard,"23,100",Asrock
Asus PRIME B360M-A 8th Gen mATX Motherboard,https://www.startech.com.bd/asus-prime-b360m-a-8th-gen-motherboard,"9,250",Asus
Asus PRIME H310M-D 8th Gen mATX Motherboard,https://www.startech.com.bd/asus-prime-h310m-d-8th-gen-motherboard,"7,100",Asus
Asus PRIME H310M-E 8th Gen mATX Motherboard,https://www.startech.com.bd/asus-prime-h310m-e-8th-gen-motherboard,"6,900",Asus
Asus Prime H370-A 8th Gen Motherboard,https://www.startech.com.bd/asus-prime-h370-a-motherboard,"11,500",Asus
Asus Prime J3355I-C DDR3 Mini ITX Motherboard,https://www.startech.com.bd/asus-prime-j3355i-c-motherboard,"5,500",Asus
Asus Prime Z370-A 8th Gen ATX Gaming Motherboard,https://www.startech.com.bd/asus-prime-z370-a-motherboard,"18,600",Asus
Asus Rog Maximus X Code Intel Z370 8th Gen ATX gaming motherboard,https://www.startech.com.bd/asus-rog-maximus-x-code-motherboard,"33,500",Asus
Asus Rog Maximus X Hero WI-FI AC 8th Gen ATX Motherboard,https://www.startech.com.bd/asus-rog-maximus-x-hero-wi-fi-ac-motherboard,"30,000",Asus
Asus ROG MAXIMUS XI CODE Intel Z390 ATX Gaming Motherboard,https://www.startech.com.bd/asus-rog-maximus-xi-code-motherboard,"33,500",Asus
Asus Rog Strix B250F Gaming Motherboard ,https://www.startech.com.bd/asus-rog-strix-b250f,"11,700",Asus
Asus Rog Strix H370-F 8th Gen Gaming Motherboard,https://www.startech.com.bd/asus-rog-strix-h370-f-motherboard,"14,100",Asus
Asus Rog STRIX X299-E Gaming Motherboard,https://www.startech.com.bd/asus-rog-strix-x299-e-motherboard,"31,800",Asus
Asus Rog Strix Z370-E Gaming ATX Motherboard,https://www.startech.com.bd/asus-rog-strix-z370-e-gaming,"22,000",Asus
Asus Rog Strix Z370-F 8th Gen ATX Gaming Motherboard,https://www.startech.com.bd/asus-rog-strix-z370-f,"19,600",Asus
ASUS ROG STRIX Z390-E GAMING 9th Gen ATX Gaming Motherboard,https://www.startech.com.bd/asus-rog-strix-z390-e-gaming-9th-gen-motherboard,"23,200",ASUS
ASUS ROG STRIX Z390-F GAMING 9th Gen ATX Gaming Motherboard,https://www.startech.com.bd/asus-rog-strix-z390-f-gaming,"21,000",ASUS
Asus Rog Z370 Maximus X Hero 8th Gen ATX Motherboard,https://www.startech.com.bd/asus-rog-maximus-x-hero,"27,000",Asus
Asus TUF B450-PLUS GAMING AMD ATX Motherboard,https://www.startech.com.bd/asus-tuf-b450-plus-gaming-amd-motherboard,"11,200",Asus
Asus TUF H310M-PLUS GAMING 8th Gen mATX Motherboard,https://www.startech.com.bd/asus-tuf-h310m-plus-gaming-motherboard,"7,500",Asus
Asus TUF Z370-PLUS 8th Gen ATX Gaming Motherboard ,https://www.startech.com.bd/asus-tuf-z370-plus,"16,300",Asus
Gigabyte AB350M HD3 AMD Motherboard,https://www.startech.com.bd/gigabyte-ab350m-hd3,"7,700",Gigabyte
Gigabyte Aorus Z370 Gaming 3 ATX Motherboard,https://www.startech.com.bd/gigabyte-aorus-z370-gaming-3,"15,500",Gigabyte
Gigabyte Aorus Z370 Gaming 5 ATX Motherboard,https://www.startech.com.bd/gigabyte-aorus-z370-gaming-5,"19,700",Gigabyte
Gigabyte Aorus Z370 Gaming 7 ATX Motherboard,https://www.startech.com.bd/gigabyte-aorus-z370-gaming-7-motherboard,"24,800",Gigabyte
Gigabyte B450 AORUS PRO AM4 AMD ATX Motherboard,https://www.startech.com.bd/gigabyte-b450-aorus-pro-amd-motherboard,"11,500",Gigabyte
Gigabyte B450 AORUS PRO WIFI AMD ATX Motherboard,https://www.startech.com.bd/gigabyte-b450-aorus-pro-wifi-motherboard,"12,100",Gigabyte
Gigabyte GA-A320M-HD2 AMD Micro ATX Motherboard,https://www.startech.com.bd/gigabyte-ga-a320m-hd2-amd-motherboard,"5,750",Gigabyte
Gigabyte GA-AB350M-D3H AMD Micro ATX Motherboard,https://www.startech.com.bd/gigabyte-ga-ab350m-d3h-amd-motherboard,"7,900",Gigabyte
Gigabyte GA-B250M-D3H Motherboard,https://www.startech.com.bd/gigabyte-ga-b250m-d3h,"7,700",Gigabyte
